BinCenter (ps);Histo01;Histo02;Histo03;Histo04
592,5;5;11681;0;0
593,5;8;11840;0;0
594,5;11;11656;0;0
595,5;5;11640;0;0
596,5;5;11881;0;0
597,5;8;11815;0;0
598,5;4;11749;0;0
599,5;8;11589;0;0
600,5;6;11821;0;0
601,5;9;11717;0;0
602,5;9;11699;0;0
603,5;8;11509;0;0
604,5;9;11784;0;0
605,5;7;11826;0;0
606,5;8;11732;0;0
607,5;4;11756;0;0
608,5;10;11511;0;0
609,5;6;11581;0;0
610,5;11;11679;0;0
611,5;7;11352;0;0
612,5;10;11538;0;0
613,5;6;11780;0;0
614,5;12;11727;0;0
615,5;7;11680;0;0
616,5;5;11701;0;0
617,5;8;11520;0;0
618,5;4;11583;0;0
619,5;7;11420;0;0
620,5;11;11537;0;0
621,5;6;11696;0;0
622,5;8;11267;0;0
623,5;7;11538;0;0
624,5;9;11579;0;0
625,5;10;11467;0;0
626,5;10;11668;0;0
627,5;3;11536;0;0
628,5;6;11324;0;0
629,5;4;11233;0;0
630,5;6;11429;0;0
631,5;6;11424;0;0
632,5;11;11184;0;0
633,5;8;11324;0;0
634,5;12;11386;0;0
635,5;7;11257;0;0
636,5;5;11406;0;0
637,5;5;11408;0;0
638,5;8;11332;0;0
639,5;5;11401;0;0
640,5;6;11249;0;0
641,5;13;11262;0;0
642,5;3;11303;0;0
643,5;13;11298;0;0
644,5;9;11168;0;0
645,5;4;11365;0;0
646,5;1;11052;0;0
647,5;8;11402;0;0
648,5;9;11221;0;0
649,5;7;11149;0;0
650,5;8;11236;0;0
651,5;5;11230;0;0
652,5;3;11132;0;0
653,5;8;11061;0;0
654,5;6;11087;0;0
655,5;11;11073;0;0
656,5;7;11122;0;0
657,5;4;11130;0;0
658,5;7;11059;0;0
659,5;7;10891;0;0
660,5;9;11122;0;0
661,5;5;11204;0;0
662,5;11;11087;0;0
663,5;11;11215;0;0
664,5;7;11083;0;0
665,5;5;11449;0;0
666,5;5;10920;0;0
667,5;5;11099;0;0
668,5;7;11129;0;0
669,5;8;10971;0;0
670,5;7;11083;0;0
671,5;4;11085;0;0
672,5;5;11000;0;0
673,5;11;11063;0;0
674,5;5;11019;0;0
675,5;11;10990;0;0
676,5;4;10930;0;0
677,5;6;10961;0;0
678,5;5;10841;0;0
679,5;2;11017;0;0
680,5;4;10955;0;0
681,5;8;10718;0;0
682,5;7;10841;0;0
683,5;4;10935;0;0
684,5;6;10907;0;0
685,5;10;10694;0;0
686,5;7;10569;0;0
687,5;3;10765;0;0
688,5;5;10735;0;0
689,5;8;10840;0;0
690,5;9;10910;0;0
691,5;8;10803;0;0
692,5;8;10785;0;0
693,5;13;10677;0;0
694,5;7;10744;0;0
695,5;7;10863;0;0
696,5;13;10678;0;0
697,5;6;10628;0;0
698,5;5;10824;0;0
699,5;10;10655;0;0
700,5;5;10679;0;0
701,5;7;10746;0;0
702,5;10;10753;0;0
703,5;7;10794;0;0
704,5;5;10642;0;0
705,5;8;10760;0;0
706,5;6;10855;0;0
707,5;7;10588;0;0
708,5;8;10618;0;0
709,5;6;10501;0;0
710,5;11;10434;0;0
711,5;7;10743;0;0
712,5;8;10731;0;0
713,5;9;10529;0;0
714,5;5;10627;0;0
715,5;11;10555;0;0
716,5;2;10335;0;0
717,5;12;10800;0;0
718,5;6;10259;0;0
719,5;8;10433;0;0
720,5;8;10352;0;0
721,5;6;10385;0;0
722,5;4;10391;0;0
723,5;4;10735;0;0
724,5;3;10586;0;0
725,5;5;10417;0;0
726,5;7;10396;0;0
727,5;11;10503;0;0
728,5;13;10291;0;0
729,5;2;10530;0;0
730,5;5;10417;0;0
731,5;4;10286;0;0
732,5;6;10446;0;0
733,5;12;10236;0;0
734,5;6;10190;0;0
735,5;6;10359;0;0
736,5;9;10350;0;0
737,5;12;10437;0;0
738,5;3;10170;0;0
739,5;8;10307;0;0
740,5;5;9939;0;0
741,5;1;10075;0;0
742,5;7;10055;0;0
743,5;4;10108;0;0
744,5;11;10171;0;0
745,5;5;10271;0;0
746,5;7;10168;0;0
747,5;7;10309;0;0
748,5;10;10139;0;0
749,5;9;10352;0;0
750,5;11;10189;0;0
751,5;8;10161;0;0
752,5;1;10066;0;0
753,5;10;10149;0;0
754,5;4;10299;0;0
755,5;9;10233;0;0
756,5;4;10006;0;0
757,5;11;10132;0;0
758,5;8;10020;0;0
759,5;5;10377;0;0
760,5;11;10188;0;0
761,5;6;10054;0;0
762,5;8;10074;0;0
763,5;8;10077;0;0
764,5;9;10004;0;0
765,5;5;9883;0;0
766,5;7;9861;0;0
767,5;5;10096;0;0
768,5;6;9999;0;0
769,5;7;9881;0;0
770,5;7;10059;0;0
771,5;8;9977;0;0
772,5;13;10146;0;0
773,5;10;9956;0;0
774,5;5;10034;0;0
775,5;6;9936;0;0
776,5;10;9809;0;0
777,5;3;9974;0;0
778,5;7;9996;0;0
779,5;11;9791;0;0
780,5;13;9914;0;0
781,5;7;9925;0;0
782,5;7;9827;0;0
783,5;5;9960;0;0
784,5;4;9887;0;0
785,5;6;9776;0;0
786,5;6;9710;0;0
787,5;11;9619;0;0
788,5;7;9774;0;0
789,5;6;9775;0;0
790,5;10;9837;0;0
791,5;4;9945;0;0
792,5;7;9778;0;0
793,5;5;9929;0;0
794,5;8;9816;0;0
795,5;5;9912;0;0
796,5;6;9713;0;0
797,5;7;9660;0;0
798,5;6;9908;0;0
799,5;4;9677;0;0
800,5;10;9781;0;0
801,5;8;9753;0;0
802,5;1;9634;0;0
803,5;4;9671;0;0
804,5;4;9717;0;0
805,5;10;9759;0;0
806,5;3;9705;0;0
807,5;6;9528;0;0
808,5;4;9654;0;0
809,5;7;9756;0;0
810,5;7;9428;0;0
811,5;8;9542;0;0
812,5;5;9597;0;0
813,5;13;9555;0;0
814,5;7;9632;0;0
815,5;9;9643;0;0
816,5;8;9594;0;0
817,5;7;9466;0;0
818,5;1;9606;0;0
819,5;9;9654;0;0
820,5;10;9535;0;0
821,5;11;9540;0;0
822,5;5;9629;0;0
823,5;10;9602;0;0
824,5;13;9514;0;0
825,5;11;9537;0;0
826,5;10;9460;0;0
827,5;11;9532;0;0
828,5;1;9393;0;0
829,5;9;9512;0;0
830,5;5;9459;0;0
831,5;4;9598;0;0
832,5;6;9366;0;0
833,5;3;9531;0;0
834,5;7;9375;0;0
835,5;9;9442;0;0
836,5;11;9573;0;0
837,5;10;9408;0;0
838,5;4;9429;0;0
839,5;5;9384;0;0
840,5;8;9345;0;0
841,5;5;9458;0;0
842,5;6;9149;0;0
843,5;5;9327;0;0
844,5;8;9515;0;0
845,5;11;9372;0;0
846,5;8;9273;0;0
847,5;7;9243;0;0
848,5;16;9475;0;0
849,5;8;9341;0;0
850,5;3;9033;0;0
851,5;7;9361;0;0
852,5;3;9193;0;0
853,5;7;9150;0;0
854,5;8;9196;0;0
855,5;9;9287;0;0
856,5;6;9393;0;0
857,5;9;9264;0;0
858,5;9;9183;0;0
859,5;5;9309;0;0
860,5;7;9190;0;0
861,5;2;9183;0;0
862,5;9;9204;0;0
863,5;9;9162;0;0
864,5;12;9328;0;0
865,5;6;9072;0;0
866,5;8;9128;0;0
867,5;10;9061;0;0
868,5;9;9099;0;0
869,5;7;9270;0;0
870,5;5;9053;0;0
871,5;8;8954;0;0
872,5;4;8999;0;0
873,5;5;9006;0;0
874,5;7;9148;0;0
875,5;8;9120;0;0
876,5;8;9026;0;0
877,5;13;9002;0;0
878,5;8;9114;0;0
879,5;8;8964;0;0
880,5;2;9016;0;0
881,5;5;8978;0;0
882,5;8;8956;0;0
883,5;4;9060;0;0
884,5;6;8859;0;0
885,5;10;8911;0;0
886,5;6;8841;0;0
887,5;7;8784;0;0
888,5;8;8911;0;0
889,5;2;8843;0;0
890,5;4;8875;0;0
891,5;6;8949;0;0
892,5;9;9104;0;0
893,5;5;8960;0;0
894,5;7;8857;0;0
895,5;11;8973;0;0
896,5;6;9025;0;0
897,5;7;8811;0;0
898,5;8;8783;0;0
899,5;6;8928;0;0
900,5;4;8952;0;0
901,5;7;8732;0;0
902,5;6;8998;0;0
903,5;4;8877;0;0
904,5;8;8877;0;0
905,5;8;8824;0;0
906,5;10;8799;0;0
907,5;5;8840;0;0
908,5;6;8855;0;0
909,5;4;8853;0;0
910,5;10;8745;0;0
911,5;7;8677;0;0
912,5;9;8958;0;0
913,5;6;8665;0;0
914,5;10;8700;0;0
915,5;9;8616;0;0
916,5;2;8621;0;0
917,5;10;8918;0;0
918,5;7;8748;0;0
919,5;10;8770;0;0
920,5;8;8668;0;0
921,5;6;8746;0;0
922,5;7;8824;0;0
923,5;5;8758;0;0
924,5;5;8811;0;0
925,5;9;8667;0;0
926,5;9;8632;0;0
927,5;9;8758;0;0
928,5;6;8713;0;0
929,5;10;8731;0;0
930,5;10;8585;0;0
931,5;6;8655;0;0
932,5;4;8535;0;0
933,5;10;8548;0;0
934,5;10;8545;0;0
935,5;11;8608;0;0
936,5;9;8516;0;0
937,5;8;8309;0;0
938,5;10;8512;0;0
939,5;8;8703;0;0
940,5;7;8557;0;0
941,5;6;8556;0;0
942,5;4;8616;0;0
943,5;9;8562;0;0
944,5;8;8770;0;0
945,5;9;8451;0;0
946,5;8;8353;0;0
947,5;0;8385;0;0
948,5;5;8497;0;0
949,5;9;8335;0;0
950,5;12;8354;0;0
951,5;7;8506;0;0
952,5;10;8505;0;0
953,5;6;8266;0;0
954,5;11;8465;0;0
955,5;9;8311;0;0
956,5;8;8502;0;0
957,5;5;8209;0;0
958,5;9;8297;0;0
959,5;8;8528;0;0
960,5;9;8303;0;0
961,5;5;8306;0;0
962,5;7;8480;0;0
963,5;5;8150;0;0
964,5;5;8293;0;0
965,5;14;8441;0;0
966,5;7;8224;0;0
967,5;9;8381;0;0
968,5;10;8260;0;0
969,5;6;8260;0;0
970,5;5;8573;0;0
971,5;6;8307;0;0
972,5;3;8300;0;0
973,5;8;8144;0;0
974,5;8;8299;0;0
975,5;3;8350;0;0
976,5;10;8011;0;0
977,5;11;8186;0;0
978,5;10;8383;0;0
979,5;9;8324;0;0
980,5;2;8273;0;0
981,5;6;8303;0;0
982,5;9;8253;0;0
983,5;12;8198;0;0
984,5;4;8257;0;0
985,5;10;8220;0;0
986,5;10;8259;0;0
987,5;5;8083;0;0
988,5;3;8061;0;0
989,5;4;8073;0;0
990,5;6;8505;0;0
991,5;6;8167;0;0
992,5;12;8162;0;0
993,5;8;8224;0;0
994,5;5;8116;0;0
995,5;6;8224;0;0
996,5;5;8180;0;0
997,5;8;7955;0;0
998,5;9;7983;0;0
999,5;6;8047;0;0
1000,5;9;8001;0;0
1001,5;7;8213;0;0
1002,5;9;7952;0;0
1003,5;8;8120;0;0
1004,5;12;7924;0;0
1005,5;10;8138;0;0
1006,5;3;8093;0;0
1007,5;4;8036;0;0
1008,5;6;8223;0;0
1009,5;7;7793;0;0
1010,5;6;7892;0;0
1011,5;11;8021;0;0
1012,5;7;7998;0;0
1013,5;4;7943;0;0
1014,5;8;7919;0;0
1015,5;10;7974;0;0
1016,5;5;8054;0;0
1017,5;4;8019;0;0
1018,5;9;7764;0;0
1019,5;6;8097;0;0
1020,5;11;7904;0;0
1021,5;7;8001;0;0
1022,5;11;7905;0;0
1023,5;10;7783;0;0
1024,5;11;7966;0;0
1025,5;8;7775;0;0
1026,5;8;7823;0;0
1027,5;8;7895;0;0
1028,5;7;7778;0;0
1029,5;14;7846;0;0
1030,5;6;7857;0;0
1031,5;5;7849;0;0
1032,5;6;7968;0;0
1033,5;6;7779;0;0
1034,5;7;7836;0;0
1035,5;10;7850;0;0
1036,5;10;7859;0;0
1037,5;6;7921;0;0
1038,5;6;7644;0;0
1039,5;6;7765;0;0
1040,5;5;7778;0;0
1041,5;5;7826;0;0
1042,5;5;7832;0;0
1043,5;5;7829;0;0
1044,5;10;7749;0;0
1045,5;11;7681;0;0
1046,5;9;7745;0;0
1047,5;9;7676;0;0
1048,5;9;7712;0;0
1049,5;5;7845;0;0
1050,5;11;7629;0;0
1051,5;12;7814;0;0
1052,5;14;7683;0;0
1053,5;9;7811;0;0
1054,5;12;7675;0;0
1055,5;9;7801;0;0
1056,5;10;7853;0;0
1057,5;9;7647;0;0
1058,5;7;7810;0;0
1059,5;2;7756;0;0
